epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0763,1.54836,1.6252,0.99416,0.33934,0.2565,0.22759,0.13115,1.43831,1.17742,0.94075,0.0033251,0.0033251,0.0033251
2,123.972,1.50287,1.21879,0.95306,0.37387,0.28718,0.26892,0.15381,1.41843,1.1356,0.92951,0.00659252,0.00659252,0.00659252
3,180.844,1.54762,1.22273,0.95799,0.35543,0.28186,0.25809,0.14492,1.47299,1.18971,0.94561,0.00979393,0.00979393,0.00979393
4,237.172,1.545,1.2105,0.9615,0.35694,0.29086,0.26982,0.15306,1.45349,1.14618,0.94127,0.009703,0.009703,0.009703
5,293.359,1.50514,1.16988,0.95375,0.38462,0.30087,0.28476,0.16287,1.41591,1.09539,0.92983,0.009604,0.009604,0.009604
6,349.715,1.48668,1.13361,0.94668,0.38622,0.30313,0.28515,0.16398,1.40348,1.10471,0.92696,0.009505,0.009505,0.009505
7,405.763,1.46465,1.10965,0.94324,0.39867,0.30752,0.28828,0.16823,1.41655,1.09111,0.93104,0.009406,0.009406,0.009406
8,461.862,1.44135,1.08496,0.93779,0.40755,0.31874,0.30703,0.17731,1.38051,1.06316,0.92195,0.009307,0.009307,0.009307
9,517.806,1.42937,1.07015,0.93464,0.42297,0.32147,0.31738,0.18475,1.36284,1.0339,0.91754,0.009208,0.009208,0.009208
10,573.588,1.41839,1.05434,0.92944,0.4175,0.32467,0.31243,0.18113,1.35496,1.03662,0.91928,0.009109,0.009109,0.009109
11,629.771,1.39199,1.0244,0.92642,0.43839,0.32043,0.32028,0.1867,1.34315,1.02856,0.91527,0.00901,0.00901,0.00901
12,685.85,1.39074,1.02508,0.92528,0.42613,0.33136,0.32725,0.19199,1.332,1.01229,0.91283,0.008911,0.008911,0.008911
13,741.958,1.37832,1.00844,0.92381,0.42766,0.33089,0.32374,0.18931,1.32353,1.0165,0.90941,0.008812,0.008812,0.008812
14,797.807,1.36481,1.00275,0.91922,0.42783,0.34849,0.33843,0.19773,1.32693,0.99485,0.9092,0.008713,0.008713,0.008713
15,854.327,1.3756,0.9961,0.91959,0.46643,0.33485,0.34053,0.20017,1.3137,0.9828,0.90962,0.008614,0.008614,0.008614
16,910.074,1.36192,0.98288,0.91855,0.45212,0.34628,0.3443,0.2021,1.30683,0.97785,0.90433,0.008515,0.008515,0.008515
17,966.203,1.35417,0.97737,0.91545,0.44029,0.34208,0.33957,0.19624,1.33107,0.98421,0.90885,0.008416,0.008416,0.008416
18,1022.02,1.35177,0.97213,0.91476,0.45998,0.34717,0.35123,0.20691,1.30566,0.96297,0.90541,0.008317,0.008317,0.008317
19,1077.37,1.3327,0.95884,0.91281,0.45867,0.34826,0.3522,0.20749,1.29806,0.96787,0.9033,0.008218,0.008218,0.008218
20,1133.49,1.32771,0.95181,0.9104,0.47362,0.35274,0.35864,0.21105,1.29929,0.96601,0.9022,0.008119,0.008119,0.008119
21,1189.17,1.32591,0.94451,0.90895,0.45968,0.35785,0.36058,0.2113,1.29139,0.95708,0.90073,0.00802,0.00802,0.00802
22,1244.79,1.3171,0.94041,0.90851,0.48257,0.35215,0.3627,0.21655,1.28665,0.95004,0.90217,0.007921,0.007921,0.007921
23,1300.37,1.31527,0.93378,0.90874,0.47982,0.36033,0.36666,0.21766,1.28289,0.94199,0.90085,0.007822,0.007822,0.007822
24,1356.53,1.30535,0.92384,0.90571,0.47289,0.35526,0.3601,0.21277,1.28271,0.94947,0.90145,0.007723,0.007723,0.007723
25,1412.48,1.30305,0.91908,0.90464,0.4761,0.36461,0.36924,0.21817,1.27576,0.94372,0.89722,0.007624,0.007624,0.007624
26,1468.6,1.30869,0.92218,0.90579,0.46989,0.36166,0.36527,0.21633,1.276,0.94159,0.89792,0.007525,0.007525,0.007525
27,1524.33,1.29618,0.90992,0.9008,0.48229,0.35653,0.36783,0.21874,1.27365,0.93665,0.89667,0.007426,0.007426,0.007426
28,1580.01,1.29725,0.91039,0.90075,0.47484,0.36407,0.37275,0.22147,1.26625,0.92724,0.89614,0.007327,0.007327,0.007327
29,1636.2,1.29093,0.9047,0.90014,0.4746,0.36606,0.37539,0.22228,1.26691,0.925,0.89623,0.007228,0.007228,0.007228
30,1691.96,1.29059,0.8978,0.90054,0.4865,0.36434,0.3734,0.22089,1.26175,0.92349,0.89444,0.007129,0.007129,0.007129
31,1747.86,1.28435,0.89544,0.90033,0.4896,0.36128,0.37648,0.22534,1.25161,0.9185,0.89269,0.00703,0.00703,0.00703
32,1803.78,1.28379,0.8876,0.89869,0.48829,0.36688,0.37485,0.22247,1.26668,0.91661,0.89546,0.006931,0.006931,0.006931
33,1859.39,1.27937,0.88778,0.89844,0.48609,0.36699,0.3765,0.22413,1.26197,0.91314,0.89374,0.006832,0.006832,0.006832
34,1915.52,1.27323,0.88158,0.8957,0.48632,0.37259,0.38565,0.23063,1.26427,0.90752,0.89385,0.006733,0.006733,0.006733
